,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
382,half moon bay,37.46,-122.43,22.22,72,20,3.1,US,1595444606
383,seymchan,62.88,152.43,16.15,62,76,2.37,RU,1595444535
384,souillac,-20.52,57.52,20.0,68,40,5.1,MU,1595444111
385,lebu,-37.62,-73.65,12.26,71,15,0.61,CL,1595444346
386,belmonte,-15.86,-38.88,26.0,54,40,4.1,BR,1595444543
387,along,28.17,94.77,22.65,88,100,0.68,IN,1595444384
388,bowen,-20.02,148.23,17.78,93,90,2.1,AU,1595444374
389,auki,-8.77,160.7,25.16,86,91,1.54,SB,1595444348
390,wanning,18.8,110.4,27.29,82,2,3.06,CN,1595444052
391,jumla,29.27,82.18,16.8,71,100,1.23,NP,1595444610
392,bure,10.7,37.07,14.88,96,100,0.97,ET,1595444611
393,iskateley,67.68,53.15,18.19,67,0,4.83,RU,1595444611
394,muroto,33.28,134.15,25.49,85,99,0.69,JP,1595444611
395,dabola,10.75,-11.12,24.66,87,95,0.16,GN,1595444612
396,gornyy,55.12,83.91,10.49,95,0,2.28,RU,1595444612
397,szodliget,47.73,19.15,25.56,78,9,1.0,HU,1595444613
398,gazanjyk,39.24,55.52,31.04,46,0,5.78,TM,1595444613
399,sola,-13.88,167.55,26.0,69,40,4.6,VU,1595444099
400,berehove,48.21,22.64,22.22,66,0,0.89,UA,1595444614
401,moose factory,51.26,-80.61,17.0,77,1,4.1,CA,1595444615
402,radomsko,51.07,19.44,17.78,64,0,25.03,PL,1595444390
403,naryan-mar,67.67,53.09,18.24,68,0,4.83,RU,1595444346
404,bangui,4.36,18.55,23.12,87,100,1.08,CF,1595444615
405,asfi,32.3,-9.24,23.51,77,0,8.69,MA,1595444104
406,muros,42.78,-9.06,30.0,54,0,3.6,ES,1595444366
407,dalbandin,28.89,64.41,28.93,45,0,4.17,PK,1595444617
408,batsfjord,70.63,29.72,9.0,100,75,6.7,NO,1595444617
409,warrnambool,-38.38,142.48,7.22,96,100,2.81,AU,1595444449
410,nuuk,64.18,-51.72,16.0,59,20,5.1,GL,1595444528
411,alekseyevsk,57.84,108.35,14.48,87,100,0.53,RU,1595444619
412,galveston,29.37,-94.97,32.0,70,40,3.6,US,1595444619
413,mapiripan,2.89,-72.13,27.32,81,62,3.64,CO,1595444619
414,abu zabad,12.35,29.25,26.52,67,92,6.67,SD,1595444619
415,quelimane,-17.88,36.89,18.24,85,27,2.57,MZ,1595444620
416,nikel,69.41,30.22,11.0,93,40,11.8,RU,1595444620
417,gorele,41.03,39.0,24.0,78,40,1.5,TR,1595444620
418,mokhsogollokh,61.47,128.92,12.62,95,37,1.66,RU,1595444620
419,surt,31.21,16.59,25.18,75,0,5.24,LY,1595444620
420,ixtapa,20.7,-105.2,32.22,79,40,3.6,MX,1595444359
421,vihari,30.03,72.35,34.19,40,0,2.24,PK,1595444426
422,valdivia,-39.81,-73.25,11.0,57,100,3.6,CL,1595444621
423,osakarovka,50.56,72.57,15.29,67,0,3.38,KZ,1595444305
424,flinders,-34.58,150.86,8.33,85,9,1.34,AU,1595444344
425,chubbuck,42.92,-112.47,27.22,33,75,2.6,US,1595444621
426,tungor,53.38,142.96,10.35,94,100,4.46,RU,1595444621
427,owo,7.2,5.59,22.34,97,94,2.31,NG,1595444622
428,port elizabeth,-33.92,25.57,15.0,100,0,2.6,ZA,1595444061
429,esperance,-33.87,121.9,13.0,58,40,8.2,AU,1595444386
430,yarada,17.65,83.27,29.0,83,90,3.6,IN,1595444623
431,santa isabel do rio negro,-0.41,-65.02,32.81,47,5,1.75,BR,1595444396
432,lander,42.83,-108.73,30.0,21,1,2.1,US,1595444600
433,dingle,11.0,122.67,24.77,86,38,1.63,PH,1595444097
434,taoudenni,22.68,-3.98,44.01,12,76,5.31,ML,1595444311
435,okha,53.57,142.95,10.45,93,100,4.69,RU,1595444624
436,manyana,-23.4,21.72,10.56,41,0,2.4,BW,1595444624
437,kathu,7.92,98.33,29.44,94,20,1.0,TH,1595444624
438,nurlat,54.43,50.81,16.76,92,100,2.45,RU,1595444625
439,toamasina,-18.17,49.38,18.0,93,75,5.1,MG,1595444625
440,santiago del estero,-27.8,-64.26,16.28,46,100,5.85,AR,1595444327
441,omsukchan,62.53,155.8,13.41,46,23,2.65,RU,1595444363
442,praia,14.92,-23.51,28.0,74,20,4.6,CV,1595444417
443,mamou,10.5,-12.0,22.72,92,100,1.04,GN,1595444625
444,nushki,29.55,66.02,30.29,28,0,8.26,PK,1595444430
445,cockburn town,21.46,-71.14,30.0,66,40,6.2,TC,1595444384
446,sangar,63.92,127.47,15.29,64,27,6.09,RU,1595444626
447,okakarara,-20.58,17.43,11.14,41,0,2.31,NA,1595444626
448,manokwari,-0.87,134.08,26.41,72,4,1.54,ID,1595444446
449,coihaique,-45.58,-72.07,1.0,74,75,2.1,CL,1595444388
450,raga,8.46,25.68,20.27,97,100,0.7,SS,1595444148
451,keskin,39.67,33.61,23.33,40,0,5.81,TR,1595444422
452,vesyegonsk,58.66,37.26,12.36,90,0,2.16,RU,1595444627
453,las palmas,28.42,-14.01,24.0,78,20,8.2,ES,1595444628
454,maningrida,-12.07,134.27,15.84,90,0,3.22,AU,1595444628
455,topchikha,52.82,83.12,15.0,72,0,2.0,RU,1595444628
456,grand gaube,-20.01,57.66,18.33,76,67,0.89,MU,1595444089
457,waipawa,-41.41,175.52,11.0,71,0,7.2,NZ,1595444027
458,asheboro,35.71,-79.81,32.78,55,75,3.6,US,1595444628
459,ati,13.22,18.34,30.92,53,76,2.29,TD,1595444526
460,malkangiri,18.35,81.9,27.0,83,99,0.67,IN,1595444543
461,akyab,20.15,92.9,26.32,90,100,5.56,MM,1595444370
462,taybad,34.74,60.78,26.78,16,0,4.61,IR,1595444629
463,boueni,-12.9,45.08,24.0,64,25,6.7,YT,1595444629
464,beira,-19.84,34.84,19.85,74,8,5.77,MZ,1595444629
465,nizhneudinsk,54.91,99.03,12.2,89,67,1.41,RU,1595444629
466,nan,18.83,100.67,22.08,95,65,0.05,TH,1595444629
467,catamarca,-28.47,-65.79,12.78,74,0,1.34,AR,1595444465
468,tura,25.52,90.22,23.74,98,100,2.38,IN,1595444332
469,pemberton,50.32,-122.8,20.0,68,75,2.26,CA,1595444630
470,kholmogory,64.22,41.66,18.0,93,40,4.0,RU,1595444630
471,bhuban,20.88,85.83,27.27,84,100,1.89,IN,1595444405
472,krasnoselkup,65.7,82.47,12.54,85,100,7.85,RU,1595444631
473,lozova,48.89,36.32,15.58,70,0,3.4,UA,1595444632
474,galesong,-5.32,119.37,24.0,100,20,1.0,ID,1595444632
475,henties bay,-22.12,14.28,19.44,56,0,0.45,NA,1595444632
476,kem,64.96,34.58,14.9,87,100,5.51,RU,1595444632
477,merauke,-8.47,140.33,23.5,84,0,5.57,ID,1595444574
478,chimore,-16.98,-65.13,28.37,53,92,1.19,BO,1595444633
479,charagua,-19.8,-63.22,29.91,35,10,4.05,BO,1595444633
480,mutoko,-17.4,32.23,11.18,69,0,2.87,ZW,1595444633
481,tierra colorada,17.17,-99.58,30.0,70,40,2.6,MX,1595444633
482,babu,24.42,111.52,26.25,75,70,1.05,CN,1595444633
483,kuhdasht,33.53,47.61,25.8,17,0,2.3,IR,1595444633
484,usvyaty,55.75,30.75,12.05,92,100,3.61,RU,1595444633
485,soyo,-6.13,12.37,22.2,83,1,3.68,AO,1595444635
486,luba,3.46,8.55,26.0,94,40,2.6,GQ,1595444635
487,ramnagar,29.4,79.12,24.72,76,0,0.68,IN,1595444635
488,huntington,38.42,-82.45,33.33,58,75,2.1,US,1595444574
489,san blas,21.52,-105.27,29.0,62,40,3.86,MX,1595444635
490,port angeles,48.12,-123.43,17.0,77,90,4.1,US,1595444544
491,rabo de peixe,37.8,-25.58,21.0,60,75,3.1,PT,1595444635
492,calabozo,8.92,-67.43,29.19,75,61,2.94,VE,1595444635
493,nador,35.17,-2.93,27.0,78,1,2.6,MA,1595444533
494,solntsevo,51.42,36.75,14.0,58,0,3.0,RU,1595444637
495,isangel,-19.55,169.27,20.44,77,2,6.06,VU,1595444349
496,axim,4.87,-2.24,23.99,88,83,3.7,GH,1595444273
497,nhulunbuy,-12.23,136.77,21.0,88,55,2.1,AU,1595444117
498,limbe,4.02,9.21,26.0,94,75,1.5,CM,1595444637
499,mvuma,-19.28,30.53,10.57,58,0,4.47,ZW,1595444637
500,blyth,55.13,-1.51,17.22,72,40,4.1,GB,1595444637
501,barcelona,41.39,2.16,28.0,74,20,2.6,ES,1595444504
502,ust-kuyga,70.02,135.6,23.25,56,64,0.6,RU,1595444638
503,ewa beach,21.32,-158.01,27.0,74,1,1.5,US,1595444638
504,mackenzie,55.3,-123.17,15.0,87,1,2.1,CA,1595444314
505,tutoia,-2.76,-42.27,28.0,59,50,3.78,BR,1595444638
506,hervey bay,-25.3,152.85,14.44,95,100,4.02,AU,1595444291
507,mathbaria,22.29,89.96,26.81,87,100,4.34,BD,1595444638
508,la romana,18.43,-68.97,33.0,55,40,8.2,DO,1595444518
509,koslan,63.46,48.9,20.38,65,78,4.31,RU,1595444639
510,ratnagiri,16.98,73.3,27.43,87,100,1.48,IN,1595444639
511,matamoros,25.53,-103.25,30.0,45,75,3.1,MX,1595444319
512,kindu,-2.95,25.95,25.67,50,74,0.37,CD,1595444639
513,grasse,43.67,6.92,26.0,69,65,1.5,FR,1595444639
514,broome,42.25,-75.83,30.0,57,40,3.6,US,1595444330
515,adjumani,3.38,31.79,20.32,91,98,1.0,UG,1595444640
516,wolgast,54.05,13.77,16.67,59,92,0.45,DE,1595444640
517,cruzeiro do sul,-29.51,-51.99,25.48,74,100,1.6,BR,1595444446
518,gamba,-2.65,10.0,21.6,86,8,3.41,GA,1595444510
519,lagoa,39.05,-27.98,21.07,72,0,1.2,PT,1595444115
520,komsomolskiy,40.43,71.72,27.0,34,0,3.1,UZ,1595444349
521,chicama,-7.84,-79.15,22.12,56,21,5.11,PE,1595444537
522,udachnyy,66.42,112.4,13.49,92,79,5.63,RU,1595444641
523,whitehorse,60.72,-135.05,15.56,87,75,1.0,CA,1595444546
524,aktash,50.3,87.73,7.61,95,100,0.68,RU,1595444642
525,porto novo,6.5,2.6,25.0,88,20,5.1,BJ,1595444534
526,banda aceh,5.56,95.32,25.48,84,100,4.15,ID,1595444407
527,pahrump,36.21,-115.98,37.22,11,15,2.68,US,1595444418
528,shymkent,42.3,69.6,27.0,30,70,2.0,KZ,1595444643
529,katherine,-14.47,132.27,15.0,41,0,3.6,AU,1595444643
530,kaseda,31.42,130.32,23.89,94,100,2.24,JP,1595444644
531,nemuro,43.32,145.57,15.4,97,100,5.5,JP,1595444644
532,kisangani,0.52,25.2,23.57,78,99,0.42,CD,1595444644
533,shahrud,36.42,54.98,24.66,53,0,3.72,IR,1595444644
534,peniche,39.36,-9.38,20.56,91,0,1.34,PT,1595444644
535,danielskuil,-28.19,23.54,6.31,54,0,0.9,ZA,1595444644
536,kruisfontein,-34.0,24.73,12.81,82,0,2.03,ZA,1595444342
537,ahipara,-35.17,173.17,13.62,71,38,6.82,NZ,1595444111
538,vredendal,-31.67,18.5,15.67,51,0,0.25,ZA,1595444317
539,yar-sale,66.83,70.83,8.57,77,50,3.04,RU,1595444398
540,veraval,20.9,70.37,28.8,81,100,5.77,IN,1595444645
541,nouadhibou,20.93,-17.03,24.0,78,3,8.2,MR,1595444646
542,rawson,-43.3,-65.1,5.41,66,100,5.58,AR,1595444633
543,saint george,37.1,-113.58,36.67,19,1,3.6,US,1595444320
544,buncrana,55.13,-7.45,19.0,77,75,3.1,IE,1595444646
545,kerchevskiy,59.95,56.29,15.91,79,100,2.59,RU,1595444647
546,tuatapere,-46.13,167.68,3.89,83,100,1.34,NZ,1595444307
547,amboasary,-25.03,46.38,19.0,68,40,1.0,MG,1595444647
548,bonavista,48.65,-53.11,19.11,60,60,2.32,CA,1595444381
549,dudinka,69.41,86.18,12.0,87,3,10.0,RU,1595444647
550,baculin,7.45,126.58,25.45,76,100,1.92,PH,1595444376
551,shingu,33.73,135.98,23.24,88,100,1.59,JP,1595444647
552,kemin,42.78,75.69,18.22,45,73,2.65,KG,1595444648
553,rio gallegos,-51.62,-69.22,-6.0,85,0,4.1,AR,1595444299
554,xinzhi,36.5,111.7,20.7,69,0,0.78,CN,1595444648
555,abbeville,50.1,1.83,20.0,56,0,2.35,FR,1595444648
556,kholm-zhirkovskiy,55.52,33.47,12.0,85,93,4.02,RU,1595444648
557,nabire,-3.37,135.48,24.2,89,61,1.52,ID,1595444649
558,otane,-39.88,176.63,10.0,81,0,5.36,NZ,1595444649
559,senanga,-16.12,23.27,14.83,36,0,2.49,ZM,1595444526
560,port hawkesbury,45.62,-61.35,25.56,44,1,5.1,CA,1595444398
561,rovnoye,50.78,46.05,21.93,61,55,2.27,RU,1595444649
562,dondo,-19.61,34.74,16.91,85,6,2.62,MZ,1595444650
563,kabare,-2.47,28.82,16.59,68,89,0.46,CD,1595444650
564,andenes,69.31,16.12,11.0,93,75,3.1,NO,1595444458
565,matagami,49.75,-77.63,24.0,44,20,0.37,CA,1595444416
566,lovozero,68.0,35.01,17.22,83,78,4.61,RU,1595444650
567,talnakh,69.49,88.4,12.0,87,10,10.0,RU,1595444060
568,maumere,-8.62,122.21,24.26,78,77,2.97,ID,1595444651
569,alzamay,55.56,98.66,11.22,95,0,2.01,RU,1595444651
570,constantine,36.37,6.61,33.0,24,0,4.6,DZ,1595444439
571,orlik,52.52,99.83,12.07,83,100,0.59,RU,1595444652
572,san jose,37.34,-121.89,25.0,41,0,1.79,US,1595444653
573,flin flon,54.77,-101.86,25.0,61,40,3.1,CA,1595444360
574,benghazi,32.12,20.07,24.98,73,0,5.18,LY,1595444528
575,angoram,-4.06,144.07,22.62,98,25,0.93,PG,1595444654
